aliases,categories,cpe,created,created_by_ref,description,external_references,id,labels,languages,modified,name,swid,type,types,vendor,version,versions,summary
,,,,,,,software--9b9996c2-418f-4306-9924-4d499fadcc62,,,,@ensdomains/ens-contracts,,software,,,1.6.1,,"The object contains information about a software entity. The key characteristics of this software are:

*   It belongs to the category 'software' but lacks specific categorization details.
*   The name is '@ensdomains/ens-contracts', which indicates it's related to smart contracts, possibly in the context of blockchain technology.
*   This software has a version number of 1.6.1, suggesting that it may be part of a larger system or framework for handling or processing smart contract-related information.
*   The object does not provide details about its vendors, types, languages, or labels, which could imply these aspects might be more complex or require additional context to understand fully.

Overall, the available data provides limited but essential details about this software entity, mainly focusing on its version and name."
,,,,,,,software--27fc9077-8e3e-4e75-92b8-0d69a2b49bd4,,,,@ensdomains/ensjs,,software,,,4.0.3,,"The object contains information about a software entity, specifically a JavaScript package named '@ensdomains/ensjs'. The details provided include:

*   Type: The type of the entity is 'software', indicating that it's a software-related resource.
*   Version: The latest version available for this software is 4.0.3.
*   Description: Unfortunately, the description field is empty (or not provided) and does not contain any relevant information about the package.
*   Labels: Since there are no labels specified in the data, it can be inferred that this JavaScript package is primarily used for some specific purpose or functionality.
*   Languages: The software appears to support multiple languages.
*   Categories, CPE, Vendor, ID and other metadata fields: These fields are empty (or not provided) indicating lack of relevant information.

The object does not contain any aliases, external references, created dates, modified dates, CPE (Common Platform Enumeration), or swid (Software Component Identifier)."
,,,,,,,software--a2a0a397-d35e-4b08-85eb-e3d1f147b3f0,,,,@ensdomains/dnssecoraclejs,,software,,,0.2.9,,"The object contains information about a software entity with the following characteristics:

- The software is identified by its name, '@ensdomains/dnssecoraclejs', which suggests that it is related to DNSSEC Oracle.js.
- The version of the software is '0.2.9', indicating that it is a specific iteration or build of the software.
- There is no information available about the aliases, categories, CPE (Common Platform Enumeration), labels, languages, types, vendor, or swid (Software Identifier) associated with this software.
- The software is classified as 'software' and has the type 'type: software', indicating that it is a computer program or application.
- There is no information available about the external references, created date, modified date, or descriptions of this software."
,,,,,,,software--1ffc27ed-7123-47e3-9586-f8839697ad2a,,,,@ensdomains/address-encoder,,software,,,0.1.5,,"The object contains a software entity with the name '@ensdomains/address-encoder'. This software has a version number of '0.1.5' and appears to be related to addressing or encoding addresses, although the specific functionality is not described.

The software does not have any aliases, categories, CPE (Common Platform Enumeration) information, or labels assigned to it. It also lacks information on its languages, vendor, or types.

There are no external references provided for this software, and it does not seem to be part of a larger software suite or package."
,,,,,,,software--7c858ed4-fd06-495b-a508-e43fc8276dc8,,,,@posthog/agent,,software,,,1.24.1,,"The object contains a software entity with the identifier ""@posthog/agent"". This software is version 1.24.1. 

It appears to be an agent or component of the PostHog platform, but its specific purpose and function are not clear from the provided data. The metadata fields such as ""created"" and ""modified"" timestamps, and other fields like ""categories"", ""cpe"", ""labels"", and ""vendor"" do not contain any relevant information that could be used to describe this software entity in detail."
,,,,,,,software--7951ff07-087f-49cf-b987-4304d1bf0f81,,,,typeorm-orbit,,software,,,,,"The object contains a software entity identified by its unique identifier, ""software--7951ff07-087f-49cf-b987-4304d1bf0f81"". This software is named ""typeorm-orbit"" and has the following characteristics:

* It does not have any aliases associated with it.
* Its categories are unknown.
* The type of entity it represents is software, but its specific category within this classification is undefined.
* It was created by an unspecified person or organization.
* There is no information available on who specifically created it.

In terms of metadata, the following details are known:

* The object is described in a way that is not specified (indicated by ""nan"" for description).
* There are no external references provided to support this software entity.
* It has no labels assigned to it.
* No information is available on its languages or programming languages used.
* Its modification history is unknown.

Additionally, there are some version-related metadata:

* The object does not have a vendor assigned to it.
* There are no specific versions of the software identified.
* A list of types associated with this software entity is provided, but ""nan"" indicates that these are undefined."
,,,,,,,software--e353188f-9dfc-48f4-9c4f-32ef50dd6025,,,,orbit-nebula-draw-tools,,software,,,,,"The object contains information about a software entity. Here's a summary of its key features:

- The software has a name, but it is not specified.
- There is no description provided for the software.
- It seems that the software is related to drawing tools, as indicated by its name ""orbit-nebula-draw-tools"".
- No specific information is available about the software's categories, CPE (Common Platform Enumeration), vendor, or languages.
- The types of this software are not specified.
- The software appears to be a standalone entity with no clear relation to other projects or versions."
,,,,,,,software--032e7918-3659-494b-86b8-b5fbe48ac982,,,,atrix-mongoose,,software,,,,,"The object contains information about a software entity named 'atrix-mongoose'. Unfortunately, most of the provided details are not available due to null or NaN (Not a Number) values."
,,,,,,,software--ab1dfa17-d5d0-4716-95e2-6531656ced02,,,,orbit-boxicons,,software,,,,,"The object contains a software entity named 'orbit-boxicons'. Unfortunately, the available information is limited due to missing data. The aliases, categories, CPE (Common Platform Enumeration), creation date, creator reference, description, external references, labels, languages, modified date, vendor, version, and versions of this software are all unknown or not provided.

The only details that can be gathered from the metadata are that the software type is 'software' and it has a unique identifier. However, without further information about its usage, functionality, or purpose, it's difficult to provide any additional context or insights about 'orbit-boxicons'."
,,,,,,,software--6927593c-9e00-4950-924b-88cb2b5a60c6,,,,orbit-soap,,software,,,,,"The object contains information about a software named 'orbit-soap'. Unfortunately, the provided data is incomplete due to missing values. The available details include:

- Name: The software's name is 'orbit-soap'.
- Type: It is classified as a software.
- Description: Although the description is present in the data, its content is unknown due to the missing value.

All other categories such as aliases, categories, CPE, created date, creation reference, labels, languages, modified date, vendor, version and versions contain null values."
,,,,,,,software--9b667c93-ce89-4549-91c6-67e038394de1,,,,redux-forge,,software,,,,,"The object contains a set of metadata describing the Redux Forge software. Unfortunately, most of the provided information is missing or represented by NaN (Not a Number), indicating an absence of data.

Some key details that can be gleaned from the available metadata include:

- The software is named Redux Forge.
- It belongs to the category of software.
- A description has been provided for the software.
- External references to additional information about Redux Forge have been noted.
- The software is not associated with a specific vendor or creator.

A complete and accurate summary of the object's metadata would require filling in the missing fields, but based on what is available, it can be stated that the Redux Forge software has some identifiable characteristics."
,,cpe:2.3:o:*:uefi_firmware:*:*:*:*:*:*:*:*,,,Firmware for initializing hardware and enforcing early security policies on modern motherboards.,,software--c2698279-7a5a-4b0f-8757-70d23ad3167e,,,,UEFI firmware,,software,,Multiple vendors,,,"The object contains information about a software artifact known as UEFI firmware. It is described as the firmware for initializing hardware and enforcing early security policies on modern motherboards.

The purpose of this firmware is to provide a secure foundation for booting devices, ensuring that only authorized software can run on the system. The firmware also plays a crucial role in implementing security measures such as memory encryption and data protection.

UEFI firmware is used by multiple vendors across various platforms, making it a widely supported standard. Its functionality includes initializing hardware components, managing power management, and enabling secure boot mechanisms.

The description of UEFI firmware highlights its importance in modern computing systems, particularly in ensuring the security and integrity of the operating system during the boot process."
,,,,,Input–Output Memory Management Unit used to restrict unauthorized memory access by peripheral devices.,,software--bd02d80c-82af-485c-9f74-93ffd1d514c2,,,,IOMMU,,software,,,,,"The object contains detailed information about the Input–Output Memory Management Unit (IOMMU). 

It is a type of software component that restricts unauthorized memory access by peripheral devices. The IOMMU serves as an essential tool to safeguard system security and prevent potential attacks from malicious hardware. 

As a specific instance, this particular IOMMU has been assigned the unique identifier ""software--bd02d80c-82af-485c-9f74-93ffd1d514c2"". This IOMMU is categorized as a software component with no publicly available aliases or external references."
,,cpe:/a:microsoft:ftp,,,,,software--1faf2710-5d16-4100-977d-cc9b2bebdf41,,,,ftp.exe,,software,,,,,"The object contains a software entity with the following characteristics:

* The software's name is ftp.exe, which suggests that it is related to the File Transfer Protocol (FTP) service.
* There is no information available on aliases or categories for this software, indicating that its identity and functional classification are unknown.
* The software's CPE (Common Platform Enumeration) code is 'cpe:/a:microsoft:ftp', which implies that it is a product of Microsoft Corporation.
* There is no information available on the creator or modification history of the software.
* A description of the software is not provided, leaving its purpose and functionality unclear.
* External references to other sources are not present in this data set.
* The vendor of the software is unknown, as 'vendor' field contains null value.
* There is no information available on languages used for this software or any versions associated with it."
,,cpe:/a:microsoft:ctfmon,,,,,software--6fc9c411-8605-41ad-b9fd-21523e0440cf,,,,ctfmon.exe,,software,,,,,"The object contains information about a software component, specifically an executable file named ""ctfmon.exe"". Unfortunately, most of the provided details are missing or null, indicating that the data is limited.

The only available detail is the vendor and type of the software component. The vendor cannot be determined as the 'vendor' field is blank. However, based on the 'cpe' identifier, it appears to be a Microsoft product, specifically part of the CTFMon (Console Test Framework Monitoring) family.

Unfortunately, there are no other details about the software component's functionality, features, or release history available due to the missing data points."
,,,,,,,software--94047124-5ff7-4cdc-86c1-a6b2291d2ea0,,,,DeviceCredentialDeployment.exe,,software,,,,,"The object contains a detailed description of a software entity, specifically an executable file named ""DeviceCredentialDeployment.exe"". The following information is available:

*   There are no aliases associated with this executable.
*   It does not belong to any specific categories or groups.
*   Its Common Platform Environment (CPE) designation is unknown.
*   No information is available about its creation or modification history.
*   There are no references provided that describe the software in detail.

However, some key details can be gleaned:

*   The executable has a name of ""DeviceCredentialDeployment.exe"".
*   It appears to be related to device credentials deployment, which suggests that it may be used for authentication purposes.
*   No information is available about the programming language or languages used to create the software.
*   There are no references or labels associated with this executable."
,,cpe:/a:microsoft:certutil,,,,,software--7619e4de-6ca3-4e45-a3d2-bced195a8be3,,,,certutil.exe,,software,,,,,"The object contains information about a software application named ""certutil.exe"". The application is part of the Microsoft product line. 

The details provided indicate that this is an executable file, likely used for cryptographic or utility purposes, given its association with the CertUtil tool from Microsoft. 

Unfortunately, there are some missing fields, including the full description and external references, making it difficult to pinpoint the specific function or application area of certutil.exe in more detail."
,,cpe:/a:google:chrome,,,,,software--a0e90c80-a086-4f93-81a0-9b2b58b8dc2c,,,,Google Chrome,,software,,,,,"The object contains information about a software application, specifically Google Chrome. 

It appears that the data does not include any detailed specifications or features of the software, beyond its general classification as a web browser. The primary identifier for this software is its CPE (Common Platform Enumeration) identifier, which points to the 'google:chrome' component within the broader category of Google products.

Some metadata fields such as categories, labels, languages, vendor, and version are absent or not specified, suggesting that these details may be available through further research but were not included in this particular data set. 

The software's description is also incomplete, with 'description: nan' indicating no specific information was provided about its functionality or capabilities.

This data likely comes from a database of software components, where each entry provides basic metadata for various applications, including their names, types, and sometimes additional information such as vendors or versions."
,,cpe:/a:microsoft:edge,,,,,software--4a140ab1-0e59-452c-b472-64c3e305f04c,,,,Microsoft Edge,,software,,,,,"The object contains information about a software entity named Microsoft Edge. The details of this software are as follows:

- It is identified by its alias, which remains unspecified.
- There is no categorization or classification provided for the software.
- The software's CPE (Common Platform Enumeration) identifier points to 'cpe:/a:microsoft:edge', indicating it belongs to Microsoft Edge.
- Information on its creation and modification history are not available as they are represented by timestamps, which have been ignored in this summary.
- External references or sources that describe the software are also not mentioned due to their non-applicability to the given data structure.
- The name of the software is explicitly stated as 'Microsoft Edge'.
- There is no information on languages used for its implementation.
- It falls under the category of 'software' without any further specification provided within this instance.
- A vendor designation, in this case, points back towards Microsoft itself as the developer or supplier."
,,,,,,,software--43e40413-c5dd-47ff-b6e5-f9af95338863,,,,Docker Compose,,software,,,v2.40.2,,"The object contains information about Docker Compose, a software product.

Docker Compose is the container orchestration tool that allows users to define and run multiple containers from a single Docker image. The software provides a way for developers to easily manage and deploy multi-container applications in a consistent and reliable manner.

The object provides details about Docker Compose, including its name, version, and type. Specifically, it states that Docker Compose has a version of 'v2.40.2' and is classified as a software product.

However, the object also lacks information on several key aspects of Docker Compose, including its creators, description, categories, and labels. Additionally, some fields such as 'external_references', 'swid', and 'vendor' contain missing or null values.

Overall, while the object provides some basic information about Docker Compose, it is limited in its scope and does not provide a comprehensive understanding of the software product."
,,,,,,,software--e336799c-a102-49ee-9d1d-39fa4fdcf996,,,,Docker Compose,,software,,,,,"The object contains information about Docker Compose, a type of software. Unfortunately, some details are not available due to missing data.

For example, the category classification for this software is unknown because its 'categories' field is empty (nan). Similarly, its vendor or manufacturer cannot be identified as there is no data in the 'vendor' field.

The description provided about Docker Compose is somewhat generic and does not offer much insight into its specific functionality or features. The software itself appears to operate within the realm of containerization and orchestration, likely supporting the deployment and management of multiple containers simultaneously.

Without additional information on the languages supported by Docker Compose, it's difficult to assess its potential use cases beyond general purpose containerization and development environments.

It is also unclear what labels or types might be applicable to this software, as both fields are currently empty (nan)."
,,,,,"C++ backdoor utilizing SSL-encrypted TCP/443 connections, supports system info collection, DLL loading, file manipulation, persistence.",,software--e0436149-06cb-478f-b9b1-24a708cb9bd0,,,,TWOSTROKE,,software,,,,,"The object contains a C++ backdoor software named TWOSTROKE. The software utilizes SSL-encrypted TCP/443 connections for its operation. Its capabilities include collecting system information, loading DLLs, manipulating files, and ensuring persistence.

TWOSTROKE supports various functionalities such as:

*   System info collection
*   DLL loading
*   File manipulation

The software's use of encrypted connections adds an extra layer of complexity to its detection and analysis. Despite these challenges, understanding the capabilities and operation of TWOSTROKE can help security professionals identify potential vulnerabilities in systems that might be compromised by this malware.

TWOSTROKE appears to have been designed with persistence in mind, aiming to ensure its continued functionality even after initial infection attempts are unsuccessful. However, more research is needed to fully comprehend the tactics, techniques, and procedures (TTPs) used by TWOSTROKE to maintain itself within a system.

Overall, the nature of TWOSTROKE highlights the importance of vigilance against software-based threats, particularly those that exploit vulnerabilities in systems' architectures or user interfaces."
,,,,,"Custom tunneler based on Socks4a proxy Lastenzug, communicates using Azure cloud infrastructure.",,software--5a43bab0-e4fe-4a09-bdbf-6b8cd02059c5,,,,LIGHTRAIL,,software,,,,,"The object contains information about a software entity named LIGHTRAIL. The description provided highlights that LIGHTRAIL is a custom tunneler based on the Socks4a proxy Lastenzug protocol. It communicates through Azure cloud infrastructure, indicating its reliance on a specific technological framework for operation.

Key aspects of LIGHTRAIL include:

- It operates as a software entity, utilizing a unique set of features to facilitate communication within an Azure environment.
- The description emphasizes customization and adaptation from existing protocols like Lastenzug's Socks4a proxy, suggesting an innovative approach in software development.
- Communication occurs through a specified cloud infrastructure platform, suggesting the integration of LIGHTRAIL with larger system architectures.

However, details regarding specific technical specifications, such as languages used for coding or versions of the software, are limited. The provided metadata fields containing information like external references and vendor names appear to be absent or unavailable in this instance."
,,,,,"Linux backdoor written in Golang, supports shell command execution, system info enumeration, file listing, delete, upload, download.",,software--d0cddca8-cece-4863-b7e8-cd356357b9c5,,,,DEEPROOT,,software,,,,,"The object contains information about the Linux backdoor 'DEEPROOT'. 

DEEPROOT is a piece of malware written in Golang that supports multiple functionalities. These include executing shell commands, gathering system information, listing and deleting files, uploading and downloading files. The software's functionality highlights its potential to cause malicious activity on affected systems."
,,,,,"Windows tunneler utility written in Golang, uses hard-coded domain for communication, uses go-yamux library.",,software--372836b6-189c-4c07-a5d9-db5e21942d8c,,,,GHOSTLINE,,software,,,,,"The object contains detailed information about the software ""GHOSTLINE"", which is a Windows tunneler utility written in Golang. The utility utilizes the go-yamux library for communication purposes. It appears to be a simple tool, as it relies on hard-coding a domain for its operation.

The primary function of this software is to provide tunneling capabilities for Windows systems. However, there are some limitations and concerns associated with its use. Notably, it uses an hardcoded domain for communication, which may introduce security vulnerabilities if not properly configured or managed."
,,,,,"Windows tunneler written in C++, features hardcoded C2 servers and URI parameters for registration and configuration download.",,software--a92a78ad-e091-4429-8614-e3b9409acdb0,,,,POLLBLEND,,software,,,,,"The object contains information about a software entity named 'POLLBLEND'. The software is described as a Windows tunneler written in C++, which implies it facilitates secure remote access to systems. One of its notable features is the hardcoded connection to certain C2 (Command and Control) servers, suggesting that these servers serve as the central hubs for communication between the software and the users.

Furthermore, POLLBLEND allows for registration and configuration download through specific URI parameters. This capability suggests that the software is designed with flexibility in mind, accommodating various user needs by allowing customization through easily modifiable settings or parameters provided at runtime.

The lack of information regarding CPE (Common Platform Enumeration) numbers, external references, languages used in development, vendor details, type labels, and version numbers leaves some aspects of the software's functionality and origins unclear."
,,,,,"Windows executable based on DCSyncer and Mimikatz, collects and XOR-encrypts credentials before writing to hardcoded filename and path.",,software--7025db86-4523-44aa-b270-34fd2ff49d75,,,,DCSYNCER.SLICK,,software,,,,,"The object contains metadata related to a Windows executable, specifically the DCSyncer malware. The metadata includes information about its aliases, categories, CPE (Common Platform Enumeration) identifier, creation date, creator, description, and other attributes.

Unfortunately, most of this information is missing or marked as 'nan' (not applicable), indicating that it could not be retrieved. However, the provided description reveals that the malware collects and encrypts credentials using XOR-encryption before writing them to a hardcoded filename and path.

Some key points about the DCSyncer malware include:

*   It was created based on other tools such as DCSyncer and Mimikatz.
*   The malware is designed to collect user credentials, which it then encrypts before storing them in a specific location.
*   Due to the encryption used by this malware, recovering the credentials would require knowledge of the encryption key or method.

While the metadata itself may be limited, providing details about its functionality and behavior gives insight into the nature and capabilities of the DCSyncer malware."
,,,,,"Windows executable written in C++, decrypts config.txt to crash.log by impersonating explorer.exe and using CryptUnprotectData API.",,software--4c90f30f-6e9c-4ef2-ae66-2eb2219cb07c,,,,CRASHPAD,,software,,,,,"The object contains a Windows executable named CRASHPAD, which is written in C++. This malware is designed to decrypt the config.txt file to produce a crash.log by impersonating explorer.exe and utilizing the CryptUnprotectData API. The purpose of this malware appears to be malicious in nature, although specific details about its intended goal are unclear."
,,,,,"Windows executable written in C, captures screenshots at intervals, saves to disk, uses XOR encryption to decode API names.",,software--78ee5871-3be8-45b3-bbea-79e280253360,,,,SIGHTGRAB,,software,,,,,"The object contains a Windows executable written in C that captures screenshots at regular intervals. The software uses XOR encryption to decode API names, adding an additional layer of security to its functionality. It saves the captured screenshots to disk, allowing users to store and potentially reuse them. Despite being designed for stealthy capture of sensitive information, this software's purpose is primarily focused on taking snapshots of a user's screen."
,,,,,"Malware that serves Windows prompt to trick user into submitting credentials, saves captured credentials in cleartext to a file.",,software--7640bf33-f0ee-4248-8825-79f13d6ccaf1,,,,TRUSTTRAP,,software,,,,,The object contains information about the TRUSTTRAP malware. The malware serves a Windows prompt to trick users into submitting their credentials and saves captured credentials in cleartext to a file. This behavior is designed to compromise user security and steal sensitive information.
,,,,,"Commercial utility for agentless remote management of Windows systems, used for reconnaissance, credential theft, and malware deployment.",,software--80f909f3-b9b5-4755-a9ef-6e7d08ef203a,,,,Atelier Web Remote Commander (AWRC),,software,,,,,"The object contains information about a piece of software called Atelier Web Remote Commander (AWRC). 

AWRC is described as a commercial utility used for agentless remote management of Windows systems. It has been found to be utilized for reconnaissance, credential theft, and the deployment of malware. The software's name suggests its connection to web-based operations."
,,,,,"Tool leveraging SCCM Remote Control for VNC-like remote access, bypasses user consent/notification.",,software--efac18e0-c46a-406c-8de3-0042ecefd3be,,,,SCCMVNC,,software,,,,,"The object contains a software tool named SCCMVNC. It leverages SCCM Remote Control for VNC-like remote access and bypasses user consent/notification. This means that the software can be used to remotely access and control another computer system without obtaining the user's explicit permission or notification. The tool operates on the basis of its SCCM Remote Control functionality, allowing it to facilitate a virtual private network (VNC) style connection between two computers."
,,cpe:2.3:a:gentlemen:ransomware:*:*:*:*:*:*:*:*,,,,,software--8ad9a315-9e0d-4ca7-95d7-9c77b2b0a6b9,,"[""Go""]",,Gentlemen,,software,,,,,"The object contains information about a type of software known as Gentlemen. It is classified under the category of ransomware, which implies that it can encrypt files or data and demand payment in exchange for restoring access to them.

Gentlemen ransomware is programmed in Go programming language. There are no additional details available regarding its categories, aliases, vendors, types, or versions.

It's worth noting that this information comes from a standard CPE (Common Platform Enumeration) notation format, which provides metadata about software and allows for efficient searching and categorization of software."
,,,,,64-bit ELF tunneler for Linux with custom NSS wrapper and embedded Fast Reverse Proxy (FRP) client.,,software--cd190376-6096-44bf-92b4-4047e4c5fb8c,,,,MINOCAT,,software,,,,,The object contains information about a software artifact known as MINOCAT. MINOCAT is described as a 64-bit ELF tunneler for Linux that utilizes a custom NSS wrapper and features an embedded Fast Reverse Proxy (FRP) client. This indicates that MINOCAT has the capabilities to tunnel through 64-bit ELF files on Linux systems while incorporating a proxy component to enhance security and functionality.
,,,,,"Downloader payload, component of VSHELL, a multi-platform backdoor written in Go.",,software--9aebc018-310a-4de0-b604-3c35fdd88ce5,,,,SNOWLIGHT,,software,,,,,"The object contains information about a software component known as SNOWLIGHT. It is described as a multi-platform backdoor written in Go, specifically a part of the VSHELL payload. The software is categorized under 'software' and does not provide any additional details on its creation or modifications.

SNOWLIGHT is identified by an ID, but no further information about the creator or external references is available due to missing data. The description suggests that SNOWLIGHT serves as a downloader for payloads, indicating its role in facilitating malicious operations.

The software's languages used are unknown, and there is no information provided regarding its vendors or versions."
,,,,,"Backdoor masquerading as Vim, historically linked to China-nexus espionage activity.",,software--a2c3ab87-6726-4848-8373-adad9b22fbd1,,,,COMPOOD,,software,,,,,"The object contains information about the software ""COMPOOD"", which is identified as a type of malware masquerading as the popular text editor Vim. Historically, COMPOOD has been linked to China-nexus espionage activity.

According to the available data, COMPOOD is described as a backdoor, meaning it provides unauthorized access to a computer system or network without the user's knowledge or consent. The software was found to masquerade as Vim, making it difficult for users to detect its presence.

The historical connection of COMPOOD to China-nexus espionage activity suggests that it may have been used by malicious actors to gain unauthorized access to sensitive information or systems. However, further investigation is needed to determine the full extent of its activities and impact.

It's worth noting that no additional information was found beyond what was provided for COMPOOD, such as any details about its creation, modification, or vendors. The lack of this information may be due to the metadata fields being ignored, which could provide valuable context to understanding the software's history and significance."
,,,,,"Go-based implant utilizing cloud services (Cloudflare Pages, GitLab) to retrieve encrypted configuration.",,software--5095d9d8-4233-4cfc-810c-9fd7764134a7,,,,HISONIC,,software,,,,,"The object contains a software artifact named HISONIC. It is described as Go-based implant that utilizes cloud services to retrieve encrypted configuration from sources like Cloudflare Pages and GitLab. The implementation likely leverages these cloud services to access the encryption keys, thereby simplifying the process of managing sensitive information within the system."
,,,,,"Malware masquerading as OpenSSH daemon (sshd) in /etc/, uses timestomping and anti-forensics.",,software--74edb147-bbf8-4e3e-ae17-544991d8662e,,,,ANGRYREBEL.LINUX,,software,,,,,"The object contains information about a type of malware called ANGRYREBEL.LINUX. This malware disguises itself as the OpenSSH daemon, which is typically found in the /etc/ directory. It employs techniques such as timestomping and anti-forensics to evade detection and analysis.

The malware appears to be masquerading as a legitimate system component, making it challenging for users to identify its presence. By using these evasion methods, ANGRYREBEL.LINUX aims to avoid being detected by security software or manual checks."
,,,,,Cryptocurrency miner deployed for illicit mining.,,software--864ac444-7026-4dbe-b3cc-03bcf2bbeff2,,,,XMRIG,,software,,,,,"The object contains information about XMRIG, a cryptocurrency miner that was deployed for illicit mining purposes. The software's description indicates its malicious intent, highlighting the need for awareness and caution when dealing with cryptocurrency miners.

XMRIG is a type of software, specifically designed to mine cryptocurrencies using distributed computing methods. However, its primary function has been misused for illicit activities, which may have severe consequences.

Despite being labeled as a software, XMRIG's classification might be subject to debate due to the ambiguity surrounding its legitimate use cases and potential malicious applications.

The object lacks specific information about the software's creation date, vendor, and version numbers, indicating that these details may not be readily available or are intentionally hidden."
,,,,,"Malicious PyInstaller implant acting as a wiper, abuses Check Point icon.",,software--eac1539e-468d-42e2-a158-0f7f80d2363c,,"[""Python""]",,PYTRIC,,software,,,,,"The object contains a detailed description of the software ""PYTRIC"". PYTRIC is classified as a malicious PyInstaller implant that functions as a wiper, specifically abusing the Check Point icon. It is identified by its ID 'software--eac1539e-468d-42e2-a158-0f7f80d2363c' and has been assigned the label 'software'."
,,,,,"Malicious Rust implant for espionage, abuses SentinelOne icon.",,software--c9e5950f-7c0c-4c67-99cb-dd278a6be47d,,"[""Rust""]",,RUSTRIC,,software,,,,,"The object contains information about the software ""RUSTRIC"", a malicious Rust implant designed for espionage. The software exploits the SentinelOne icon and is created using the programming language Rust.

RUSTRIC appears to be used for malicious purposes, as indicated by its description. The software's creation and modification timestamps are not available in the provided data.

Some details about RUSTRIC's properties include:

- It uses the Rust programming language.
- It has no known aliases or categories.
- There is no information available on its external references or vendor.
- No languages besides Rust have been identified as being used for RUSTRIC.
- The software type and label are both classified as ""software"".
- Some versions of the software, but not all, are tracked."
,,,,,"Fake security tool referenced in phishing PDF, impersonates Check Point branding.",,software--27cd78c9-27d0-4789-bb30-c4d8e2caf261,,,,Security Scanner,,software,,,,,"The object contains information about a fictional security tool. The software is referred to as a ""Security Scanner"" and it impersonates the Check Point branding. This fake security tool was referenced in a phishing PDF."
,,,,,,,software--1d51c5ac-62d3-4364-8f6e-a7f0a8f7d2f6,,,,Microsoft SharePoint,,software,,,,,"The object contains information about Microsoft SharePoint. The software is classified under various categories, but the specific categories are not provided.

SharePoint's functionality can be categorized as a collaboration platform. It allows users to create, share, and manage content, as well as collaborate on documents and projects. However, the exact nature of its capabilities is not explicitly stated in the metadata.

In terms of languages, SharePoint supports multiple languages, but the specific languages are not listed. This could be due to regional or language-specific features that are not included in the provided metadata.

The software is associated with Microsoft as its vendor. The version number and any subsequent versions are also not specified in the metadata.

Overall, the information provided about Microsoft SharePoint is limited, and more details would be necessary to fully understand its capabilities and features."
,,,,,"Malicious VS Code extension that exfiltrates C++ source code, activates on VS Code startup, and sends code to remote servers.",,software--95d8e098-7cf5-4c47-a289-51c9fd09b388,,"[""C++""]",,C++ Playground,,software,,"ab-498, 498, 498-00",,,"The object contains information about a malicious Software Development Kit (SDK) extension for Visual Studio Code (VS Code). The extension is designed to exfiltrate C++ source code, activating automatically upon VS Code startup, and sending the stolen code to remote servers."
,,,,,Malicious VS Code extension that secretly mines cryptocurrency using CoinIMP service while formatting HTTP files.,,software--896de030-b644-4d15-b501-07bfc3a85079,,"[""HTTP""]",,HTTP Format,,software,,"ab-498, 498, 498-00",,,"The object contains information about a malicious software extension for Visual Studio Code (VS Code). The extension is called ""HTTP Format"" and has the identifier ""software--896de030-b644-4d15-b501-07bfc3a85079"". 

It is categorized as a software, but its primary function appears to be formatting HTTP files. However, it secretly mines cryptocurrency using the CoinIMP service while performing this task.

The extension's language is specified as HTTP, and it has been created by an unknown vendor with reference number ""ab-498, 498, 498-00""."
,,,,,Malicious VS Code extension containing identical backdoor code for remote code execution.,,software--e584ebc0-9bbb-4a7b-9683-4b481c028333,,"[""Python""]",,Python Format,,software,,"ab-498, 498, 498-00",,,"The object contains information about a malicious software (Malware) entity identified as a Visual Studio Code (VS Code) extension. The key details of this Malware are as follows:

The Malware is known for its malicious behavior related to the execution of remote code, and it has identical backdoor code embedded within it. This implies that when the extension is used in a compromised environment or by an attacker, it could be exploited to execute arbitrary commands on the affected system.

The programming language predominantly associated with this Malware is Python. The fact that Python is the primary language suggests that the developers of the malware were likely familiar with and utilized its capabilities effectively for their malicious purposes.

A specific description has been given to identify this threat: ""Malicious VS Code extension containing identical backdoor code for remote code execution.""

This Malware's origin is attributed to the 'ab-498, 498, 498-00' vendor."
,,,,,Malicious VS Code extension associated with TigerJack's campaign.,,software--41c772ef-1b8b-4a7f-b291-a65adabf5c0a,,"[""C++""]",,C++ Format,,software,,"ab-498, 498, 498-00",,,"The object contains a VS Code extension named ""C++ Format"" associated with TigerJack's campaign. This malicious extension is classified as software. The programming languages used for this extension are specified as C++. The vendor of the extension is identified as 'ab-498, 498, 498-00'."
,,,,,Malicious VS Code extension associated with TigerJack's campaign.,,software--a14fc52a-724f-494e-ab16-cf2e973ca47b,,[],,Test Web Extension,,software,,498-00,,,"The object contains information about a malicious Software Development Kit (SDK) extension for Visual Studio Code (VS Code). The extension is identified by the name ""Test Web Extension"". 

It is worth noting that this particular software is associated with TigerJack's campaign, which suggests it may be a part of a larger cybercrime or malicious activity."
,"[""malware""]",,,,Arkei stealer is the source code base originally leveraged by Vidar Stealer.,,software--450d3321-9f98-4c52-8bda-7646eafb58b6,,,,Arkei stealer,,software,,,,,"The object contains information about a piece of malware software referred to as ""Arkei Stealer"". It is the source code base originally utilized by another malware named ""Vidar Stealer"".

Arkei Stealer was identified under several labels, including its classification as malware and being categorized within the malware category."
