aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
"[""UNC1549""]",,,"UNC1549 is a suspected Iran-nexus threat group targeting the aerospace, aviation, and defense industries in the Middle East and beyond. The group employs a dual approach for initial access, including targeted phishing and exploitation of trusted third-party relationships. UNC1549 is known for sophisticated lateral movement, custom malware deployment, and long-term persistence.",,2023-10-01T00:00:00Z,"[""Espionage"", ""Credential theft"", ""Long-term persistence"", ""Data exfiltration""]",intrusion-set--90b2e287-669c-40ce-95d2-77e1ca06523f,,,,UNC1549,,espionage,,organization,,,"[""credential access"", ""defense evasion""]",,,intrusion-set,"The object contains information about a suspected threat group known as UNC1549. The group is believed to be based in Iran and primarily targets the aerospace, aviation, and defense industries in the Middle East and beyond.

UNC1549 employs a dual approach for initial access, utilizing targeted phishing and exploitation of trusted third-party relationships. This tactic allows the group to gain an initial foothold within the organization before implementing more sophisticated lateral movement techniques.

One of the notable characteristics of UNC1549 is its custom malware deployment and long-term persistence capabilities. The group's ability to maintain a persistent presence within compromised networks makes it difficult for organizations to detect and respond to the threat effectively.

The primary motivation behind UNC1549's activities is espionage, although secondary motivations include credential access and defense evasion. The group's goals are centered around gathering sensitive information from targeted industries and evading detection by security measures.

In terms of tactics, techniques, and procedures (TTPs), UNC1549 is known for its sophisticated approach to initial access, lateral movement, and persistence. The group's use of custom malware and exploitation of trusted third-party relationships makes it a significant threat to organizations in the aerospace, aviation, and defense sectors."
"[""Volt Typhoon""]",,,"A Chinese cyber-espionage group known for exploiting Fortinet vulnerabilities, including FortiOS SSL VPN flaws, to compromise government and military networks.","[{""source_name"": ""BleepingComputer"", ""url"": ""https://www.bleepingcomputer.com/news/security/chinese-hackers-hid-in-us-infrastructure-network-for-5-years/""}]",,,intrusion-set--4c3a256e-f398-4a8b-9b1d-2d76fbefee46,,,,Volt Typhoon,,,,,,,,,,intrusion-set,"The object contains information about a cyber-espionage group known as Volt Typhoon. The group is identified by its alias, which is ""Volt Typhoon"".

The group's primary goal appears to be exploiting vulnerabilities in Fortinet software to compromise the security of government and military networks. This exploitation is specifically targeted at FortiOS SSL VPN flaws.

Further research suggests that this cyber-espionage group has been active for several years, with evidence indicating that it has hidden in US infrastructure networks for five years.

The group's motivations are not explicitly stated, but its actions suggest a primary motivation of financial gain through the theft and exploitation of sensitive information. The exact nature of this exploitation is unclear, but it is likely to be related to the collection and manipulation of valuable data from compromised networks."
"[""Earth Lamia""]",,,"China-nexus threat group tracked by GTIG, reported by AWS as actively exploiting CVE-2025-55182.","[{""source_name"": ""AWS Security Blog"", ""url"": ""https://aws.amazon.com/blogs/security/china-nexus-cyber-threat-groups-rapidly-exploit-react2shell-vulnerability-cve-2025-55182/""}]",,,intrusion-set--fd8aab9f-3db5-4a4c-9c39-fb9109a6bc92,,,,UNC5454 (Earth Lamia),,,,,,,,,,intrusion-set,"The object contains information about a cyber threat group known as UNC5454 (Earth Lamia). The group is tracked by GTIG and reported by AWS as actively exploiting a specific vulnerability, CVE-2025-55182.

The group's aliases include Earth Lamia. However, its country of origin is not specified.

According to the description, China-nexus threat group is being monitored for its activities, which involve exploiting vulnerabilities. The exact motivations behind these actions are not clear.

The object contains an external reference from AWS Security Blog, which provides more information about the China-nexus threat group and their exploitation of the React2Shell vulnerability.

Unfortunately, there is no information available on the group's goals, first seen date, last seen date, or primary motivation."
"[""Jackpot Panda""]",,,China-nexus threat group reported by AWS as exploiting CVE-2025-55182. No public indicators available to assess group relationship.,"[{""source_name"": ""AWS Security Blog"", ""url"": ""https://aws.amazon.com/blogs/security/china-nexus-cyber-threat-groups-rapidly-exploit-react2shell-vulnerability-cve-2025-55182/""}]",,,intrusion-set--38b5cc06-4313-4131-93e1-2df019feb8c0,,,,Jackpot Panda,,,,,,,,,,intrusion-set,"The object contains information about a threat group known as ""Jackpot Panda"". The group is reported to be a China-nexus threat group that exploits the CVE-2025-55182 vulnerability. However, there are currently no public indicators available to assess the relationship between this group and other threat actors.

According to AWS Security Blog, Jackpot Panda has been rapidly exploiting a React2Shell vulnerability (CVE-2025-55182) without any known public indicators. 

The primary motivation behind this activity appears to be related to an intrusion set, but further information on the goals and motivations of Jackpot Panda is currently unavailable.

As a result, there are limited details available about this threat group's activities or target regions."
,,,China-nexus espionage cluster observed exploiting CVE-2025-55182 to deliver MINOCAT tunneler.,"[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence""}]",,,intrusion-set--285e63c6-cac3-4886-90f4-45438a2a8ed5,,,,UNC6600,,,,,,,,,,intrusion-set,"The object contains information about a specific intrusion set detected by Google Threat Intelligence Group. The details of the intrusion set are as follows:

The intrusion set is named UNC6600 and is associated with an exploit of CVE-2025-55182, which allows for the delivery of a MINOCAT tunneler.

It appears that this particular intrusions was created in order to take advantage of the vulnerability and deliver malware. The threat actor behind this is unknown however it is related to China-nexus espionage cluster"
,,,Suspected China-nexus actor observed exploiting CVE-2025-55182 to deliver SNOWLIGHT downloader.,"[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence""}]",,,intrusion-set--79e8dfae-41e3-47be-b6bb-507aa0e86225,,,,UNC6586,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, identified as 'UNC6586', which is suspected to be a China-nexus actor. The actor was observed exploiting a known vulnerability, CVE-2025-55182, to deliver a SnowLight downloader.

This threat actor's primary motivation appears to be related to the delivery of malware, with no clear stated goal. However, their actions are likely driven by secondary motivations that remain unknown at this time. 

No specific regions or countries have been identified as being targeted by this intrusion set, despite its suspected China-nexus origin. 

The threat actor's tactics, techniques, and procedures (TTPs) are not detailed in the provided information."
,,,China-nexus threat actor observed exploiting CVE-2025-55182 to deliver COMPOOD backdoor.,"[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence""}]",,,intrusion-set--3c52a7d7-29e8-496e-bdb1-981ad536673c,,,,UNC6588,,,,,,,,,,intrusion-set,"The object contains information about a threat actor known as UNC6588. 

This entity is associated with exploiting the CVE-2025-55182 vulnerability to introduce a backdoor into systems, referred to as COMPOOD. The primary motivation behind this action appears to be malicious in nature.

There are no publicly available aliases or details regarding the country of origin for this threat actor."
,,,China-nexus actor observed deploying updated HISONIC backdoor targeting cloud infrastructure in APAC.,"[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence""}]",,,intrusion-set--5e3eefdf-7c73-40e2-a306-02cef5c91168,,,,UNC6603,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, identified as UNC6603. This intrusion set is associated with a China-nexus actor, who has been observed deploying an updated backdoor targeting cloud infrastructure in the Asia-Pacific (APAC) region.

The backdoor, known as HISONIC, was detected and analyzed by the Google Threat Intelligence Group, which provided external reference information regarding its discovery."
,,,"China-nexus actor observed exploiting CVE-2025-55182 to deploy ANGRYREBEL.LINUX, targeting international VPS infrastructure.","[{""source_name"": ""Google Threat Intelligence Group"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence""}]",,,intrusion-set--6173729d-451c-4063-93ef-abedb5cf4fcb,,,,UNC6595,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, specifically UNC6595. This entity is a China-nexus actor who was observed exploiting the CVE-2025-55182 vulnerability to deploy ANGRYREBEL.LINUX, targeting international Virtual Private Server (VPS) infrastructure.

The threat actor's primary goal appears to be deploying malware on these compromised VPS servers. However, no specific goals or motivations are mentioned in the provided data.

It is worth noting that this intrusion set was first detected by the Google Threat Intelligence Group, as indicated by an external reference."
[],,,"A threat campaign targeting high-profile organizations in government, industrial, and financial sectors across Asia, Africa, and Latin America, using custom malware implants for cyber espionage.","[{""source_name"": ""Dark Reading"", ""url"": ""https://www.darkreading.com/cyberattacks-data-breaches/-passiveneuron-cyber-spies-target-industrial-financial-orgs""}]",,"[""cyber espionage""]",intrusion-set--5779b88a-6529-464e-bfc0-35080743952b,,,,PassiveNeuron,,espionage,,organization,,,[],,,intrusion-set,"The object contains information about a threat campaign known as PassiveNeuron. The campaign targets high-profile organizations in government, industrial, and financial sectors across Asia, Africa, and Latin America.

PassiveNeuron uses custom malware implants for cyber espionage, indicating that the primary motivation behind this threat campaign is espionage. This suggests that the attackers are seeking sensitive information or intellectual property from their targeted organizations.

The campaign specifically aims to compromise these organizations' systems, likely by exploiting vulnerabilities in their networks or by tricking employees into installing malicious software. The use of custom malware implants implies a level of sophistication and potentially more advanced threat actors behind this campaign.

While there is no clear indication of the attackers' secondary motivations or goals beyond espionage, it is worth noting that cyber espionage can often serve as a means to achieve broader strategic objectives, such as gaining a competitive edge over adversaries."
"[""REF7707"", ""CL-STA-0049"", ""Earth Alux""]",,,"Jewelbug is a Chinese APT group active since mid-2023, targeting organizations in South America, South Asia, Taiwan, Russia, and Southeast Asia. The group is known for espionage and maintaining long-term stealthy presence on victim networks, using supply chain attacks, credential dumping, persistence mechanisms, and exfiltration via legitimate cloud services.",,2023-06-01T00:00:00Z,"[""Espionage"", ""Long-term persistence"", ""Supply chain compromise""]",intrusion-set--f9736826-9b2d-4659-816e-8bd24c0bf588,,,,Jewelbug,,espionage,,organization,,,,,,intrusion-set,"The object contains information about Jewelbug, a Chinese Advanced Persistent Threat (APT) group. The group has been active since mid-2023 and primarily targets organizations in South America, South Asia, Taiwan, Russia, and Southeast Asia.

Jewelbug's tactics, techniques, and procedures (TTPs) include espionage, maintaining long-term stealthy presence on victim networks, and exploiting supply chain attacks to gain access. The group also uses credential dumping, persistence mechanisms, and exfiltration via legitimate cloud services to further its goals.

The primary motivation behind Jewelbug's activities is espionage, with a focus on long-term persistence and supply chain compromise. The group's TTPs are designed to allow it to maintain a hidden presence within victim networks for extended periods, making it difficult to detect.

The object also lists several key characteristics of Jewelbug, including its aliases, which include REF7707, CL-STA-0049, and Earth Alux. Additionally, the object notes that Jewelbug's goals are centered around espionage, long-term persistence, and supply chain compromise.

Overall, Jewelbug is a sophisticated APT group with a range of tactics and techniques at its disposal, making it a significant security concern for organizations operating in targeted regions."
"[""CL-CRI-1032"", ""Atlas Lion"", ""STORM-0539""]",,,"Jingle Thief is a financially motivated intrusion set attributed to Morocco-based actors active since 2021. The group targets global enterprises in the retail and consumer services sectors, focusing on cloud-based gift card fraud. They use phishing and smishing to steal credentials, compromise organizations, and exploit Microsoft 365 capabilities for reconnaissance, persistence, and large-scale fraud. Their operations are characterized by tailored social engineering, stealthy inbox control, and rogue device registration.","[{""source_name"": ""Unit 42"", ""url"": ""https://unit42.paloaltonetworks.com/cloud-based-gift-card-fraud-campaign/""}, {""source_name"": ""Microsoft"", ""url"": ""https://news.microsoft.com/wp-content/uploads/prod/sites/626/2024/05/Cyber_Signals_Issue_7_May_2024-2.pdf""}, {""source_name"": ""Intel471"", ""url"": ""https://intel471.com/blog/threat-actors-target-gift-card-issuing-systems""}]",2021-01-01T00:00:00Z,"[""Compromise cloud-based gift card issuance systems"", ""Monetize stolen gift cards via resale and money laundering"", ""Maintain long-term persistence in enterprise environments""]",intrusion-set--85c4eea5-d5e9-4569-a295-14471285dce4,"[""cloud"", ""gift card fraud"", ""phishing"", ""smishing"", ""identity-based attack"", ""Morocco""]",,,Jingle Thief,,financial,,organization,,,"[""fraud"", ""money laundering""]",,,intrusion-set,"The object contains information about an intrusion set known as Jingle Thief. This financially motivated group of actors from Morocco has been active since 2021 and targets global enterprises in the retail and consumer services sectors.

Jingle Thief primarily focuses on cloud-based gift card fraud, using phishing and smishing to steal credentials, compromise organizations, and exploit Microsoft 365 capabilities for reconnaissance, persistence, and large-scale fraud. Their operations are characterized by tailored social engineering, stealthy inbox control, and rogue device registration.

The group's primary motivation is financial gain, aiming to monetize stolen gift cards through resale and money laundering. They also seek to maintain long-term persistence in enterprise environments.

In terms of their tactics, tactics, and procedures (TTPs), Jingle Thief uses a range of techniques, including phishing, smishing, and exploitation of Microsoft 365 capabilities. Their campaigns often involve tailored social engineering, stealthy inbox control, and rogue device registration.

Jingle Thief has been linked to several external references, including reports from Unit 42, Microsoft, and Intel471. These sources provide insight into the group's activities, tactics, and motivations.

The object contains information about Jingle Thief as an intrusion set, but it is essential to note that the data may not be comprehensive or up-to-date."
"[""Transparent Tribe""]",,,"APT36 is a threat group active in South Asia, known for cyberespionage campaigns targeting government, military, and research organizations. The group frequently uses phishing emails with malicious attachments, and its infrastructure mimics official government domains. Recent campaigns delivered StealthServer malware via .desktop files and Office documents, with C2 infrastructure using domains such as modindia.serveminecraft.net and modgovindia.space.","[{""source_name"": ""seqrite"", ""url"": ""https://www.seqrite.com/blog/umbrella-of-pakistani-threats-converging-tactics-of-cyber-operations-targeting-india/?ref=blog.xlab.qianxin.com""}, {""source_name"": ""hunt.io"", ""url"": ""https://hunt.io/blog/apt36-india-infrastructure-attacks?ref=blog.xlab.qianxin.com""}, {""source_name"": ""cloudsek"", ""url"": ""https://www.cloudsek.com/blog/investigation-report-apt36-malware-campaign-using-desktop-entry-files-and-google-drive-payload-delivery?ref=blog.xlab.qianxin.com""}]",,"[""cyberespionage"", ""data exfiltration"", ""persistent access""]",intrusion-set--53fb22f0-2a78-4c06-861f-fdc2bccf3831,,,,APT36,,espionage,,organization,,,"[""intelligence collection""]",,,intrusion-set,"The object contains information about APT36, a threat group active in South Asia, known for its cyberespionage campaigns targeting government, military, and research organizations.

APT36 is recognized for frequently using phishing emails with malicious attachments to execute its attacks. The group's infrastructure often mimics official government domains, adding to the authenticity of its phishing attempts.

Recent campaigns have involved the delivery of StealthServer malware via .desktop files and Office documents. Additionally, APT36 has utilized C2 (command and control) infrastructure that uses domains such as modindia.serveminecraft.net and modgovindia.space.

The group's tactics, techniques, and procedures (TTPs) are often linked to Pakistani threat actors. According to various reports from reputable sources, including Seqrite, Hunt.io, and CloudSEK, APT36 has been involved in several high-profile attacks targeting organizations in India.

These attacks have focused on cyberespionage, data exfiltration, and persistent access, making them a significant concern for the targeted organizations. The primary motivation behind these attacks is espionage, while secondary motivations include intelligence collection.

APT36's TTPs involve the use of phishing emails, malicious attachments, and the delivery of malware via various means. Its C2 infrastructure and use of mimicry tactics to deceive victims further add to its sophistication.

In summary, APT36 is a sophisticated threat group that has been involved in several high-profile cyberespionage campaigns targeting organizations in South Asia. Its TTPs are characterized by the use of phishing emails, malicious attachments, and malware delivery via various means, making it a significant concern for the targeted organizations."
,,,A China-nexus threat actor that actively exploited CVE-2023-46747 in F5 BIG-IP TMUI to create backdoor administrator accounts and gain command execution on compromised devices.,"[{""source_name"": ""Mandiant"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/initial-access-brokers-exploit-f5-screenconnect""}]",,,intrusion-set--0208b146-d496-4fdc-869b-ee84c8e28855,,,,UNC5174,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set attributed to a China-nexus threat actor. This threat actor actively exploited a vulnerability in F5 BIG-IP TMUI to create backdoor administrator accounts and gain command execution on compromised devices.

The specific details of the exploitation include the use of CVE-2023-46747, which was a known vulnerability that allowed an attacker to create unauthorized administrator accounts and execute arbitrary commands on affected devices. 

This intrusion set is also linked to an external reference from Mandiant, a reputable threat intelligence source, in support of the information provided.

The primary motivation for this activity appears to be malicious, with no specified primary or secondary motivations listed."
,,,"A Chinese state-sponsored group that used malicious software to exploit outdated F5 BIG-IP equipment, allowing persistent access and exfiltration of data from targeted organizations for three years.","[{""source_name"": ""Hive Pro"", ""url"": ""https://hivepro.com/wp-content/uploads/2024/06/TA2024233.pdf""}]",,,intrusion-set--6ef3268e-09a8-443a-833c-f6e1fa3b557e,,,,Velvet Ant,,,,,,,,,,intrusion-set,"The object contains information about a malicious state-sponsored group known as the Velvet Ant. The group used malicious software to exploit outdated F5 BIG-IP equipment, allowing them to gain persistent access and exfiltrate sensitive data from targeted organizations over a period of three years.

The group's actions were documented in a report by Hive Pro, which provides details about the tactics, techniques, and procedures (TTPs) used by the Velvet Ant. According to the report, the group utilized malware to compromise vulnerable F5 BIG-IP equipment, granting them unauthorized access to the affected organizations' networks.

The specific goals of the Velvet Ant remain unclear, although it is believed that their primary motivation was to exploit outdated technology and gain an upper hand in their attacks. The group's actions likely resulted in significant data breaches and compromised security for numerous targeted organizations.

It is worth noting that the Velvet Ant is considered a state-sponsored group, indicating that they may have received support or backing from a government entity. However, further information about this is currently not available."
,,,"A China-nexus group, overlapping with UNC3886, that exploited CVE-2022-1388 in F5 BIG-IP devices to deploy web shells, tunnel traffic, and execute arbitrary system commands.","[{""source_name"": ""Sygnia"", ""url"": ""https://www.sygnia.co/blog/fire-ant-a-deep-dive-into-hypervisor-level-espionage/""}]",,,intrusion-set--12487df0-5c4b-4805-8b27-3d0abf62f8fa,,,,Fire Ant,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, specifically a China-nexus group known as ""Fire Ant"". This group is associated with exploiting a vulnerability in F5 BIG-IP devices to deploy web shells, tunnel traffic, and execute arbitrary system commands. 

Further details about the group are limited due to missing data points. However, it is stated that Fire Ant overlaps with another intrusion set called UNC3886. The group's primary motivation for these malicious activities remains unclear as there is no information available on this topic.

In terms of their operations, Fire Ant utilized a vulnerability in F5 BIG-IP devices, CVE-2022-1388, to deploy web shells and execute arbitrary system commands. 

The group was first mentioned in the context of Sygnia's report titled ""Fire-Ant: A Deep Dive into Hypervisor-Level Espionage"", which provides more information about their tactics, techniques, and procedures (TTPs)."
"[""APT36"", ""ProjectM"", ""C-Major"", ""透明部落""]",,,"APT-C-56 (透明部落) is an advanced persistent threat group originating from South Asia, primarily targeting India and neighboring countries. The group is skilled in social engineering, spear-phishing attacks, and multi-platform attack techniques. Their arsenal includes various malware families such as CrimsonRAT, Poseidon, DISGOMOJI, and newly developed Golang-based RATs for both Windows and Linux.",,,"[""Espionage"", ""Data theft""]",intrusion-set--09daf817-2ed0-4ae4-93c5-719b577bf595,,,,APT-C-56,,espionage,,organization,,,,,,intrusion-set,"The object contains information about APT-C-56, a sophisticated threat group originating from South Asia. The group primarily targets India and neighboring countries, employing advanced tactics such as social engineering, spear-phishing attacks, and multi-platform attack techniques.

APT-C-56's arsenal includes various malware families, including CrimsonRAT, Poseidon, DISGOMOJI, and newly developed Golang-based RATs for both Windows and Linux. The group's primary motivation is espionage, with secondary goals of data theft."
"[""Tick""]",,,"BRONZE BUTLER is a Chinese state-sponsored threat group active since 2010, known for exploiting zero-day vulnerabilities in Japanese asset management products. In 2025, the group exploited CVE-2025-61932 in Motex LANSCOPE Endpoint Manager to steal confidential information and previously targeted SKYSEA Client View in 2016.","[{""source_name"": ""Secureworks Threat Profile"", ""url"": ""https://www.secureworks.com/research/threat-profiles/bronze-butler""}, {""source_name"": ""Sophos News"", ""url"": ""https://news.sophos.com/en-us/2025/10/30/bronze-butler-exploits-japanese-asset-management-software-vulnerability/""}]",,,intrusion-set--7c65fbd7-e978-48f6-9a20-4e8605ea8051,,,,BRONZE BUTLER,,,,,,,,,,intrusion-set,"The object contains information about the BRONZE BUTLER threat group, a Chinese state-sponsored threat actor. The group has been active since 2010, primarily focusing on exploiting zero-day vulnerabilities in Japanese asset management products.

BRONZE BUTLER's primary method of operation involves targeting vulnerable software and systems, allowing them to steal confidential information. In 2025, the group exploited CVE-2025-61932 in Motex LANSCOPE Endpoint Manager to gain unauthorized access, while also previously targeting SKYSEA Client View in 2016.

The threat actor's activities have been documented by reputable sources, including Secureworks and Sophos News. These organizations provide external references to support the presence and capabilities of BRONZE BUTLER.

BRONZE BUTLER is considered an advanced threat actor due to its sophisticated tactics, which often involve exploiting zero-day vulnerabilities. Their primary motivation appears to be the theft of sensitive information, although additional motivations may exist.

The regions targeted by BRONZE BUTLER are likely related to their focus on Japanese asset management products. However, more specific details regarding their operational targets and scope are not available in this dataset."
"[""EVALUSION"", ""DCVTTTUUEEW23"", ""GFHJJYU43"", ""GJHYUT534"", ""KAKAN""]",,,"A threat group leveraging NetSupport RAT with distinct licensee names and infrastructure spread across multiple countries. Known for using PowerShell-based loaders, RunMRU deletion loaders, and batch file-based loaders.","[{""source_name"": ""eSentire Blog"", ""url"": ""https://www.esentire.com/blog/unpacking-netsupport-rat-loaders-delivered-via-clickfix""}]",,,intrusion-set--a4e03f94-67b7-4525-80fd-dce90318b0ab,,,,EVALUSION Campaign,,,,,,,,,,intrusion-set,"The object contains information about a threat group referred to as EVALUSION Campaign. This campaign is notable for leveraging the NetSupport RAT (Remote Access Trojan) tool, which is used in conjunction with distinct licensee names and infrastructure spread across multiple countries.

EVALUSION Campaign is known for utilizing various types of loaders, including PowerShell-based loaders, RunMRU deletion loaders, and batch file-based loaders. These loaders are designed to facilitate the execution and persistence of the RAT tool on compromised systems.

The campaign's use of NetSupport RAT has been observed in conjunction with click-fix style payloads, which are delivered via infected software downloads or exploited vulnerabilities.

In terms of its goals, EVALUSION Campaign appears to be motivated by a primary motivation that is not explicitly stated. However, secondary motivations may include the exploitation of licensee names and infrastructure spread across multiple countries for potential future attacks.

EVALUSION Campaign has been identified through external references, with one notable example being an article published on the eSentire Blog, which discusses the campaign's use of NetSupport RAT loaders delivered via ClickFix payloads."
"[""FSHGDREE32"", ""SGI""]",,,"A threat group using NetSupport RAT, identified by the FSHGDREE32 and SGI licenses, with infrastructure connections and similar loader techniques to the EVALUSION campaign. Primarily uses PowerShell-based loaders.","[{""source_name"": ""eSentire Blog"", ""url"": ""https://www.esentire.com/blog/unpacking-netsupport-rat-loaders-delivered-via-clickfix""}]",,,intrusion-set--d547af36-5d9c-4d01-88f5-feeffd46ee70,,,,FSHGDREE32/SGI Campaign,,,,,,,,,,intrusion-set,"Here is a detailed summary of the data:

The object contains information about a threat group identified by the aliases FSHGDREE32 and SGI. This group primarily uses NetSupport RAT (Remote Access Tool) and employs various tactics, including PowerShell-based loaders, similar to another campaign called EVALUSION.

Specifically, this threat group is characterized by its connection with infrastructure, as well as its use of loader techniques reminiscent of the EVALUSION campaign. 

Furthermore, there are references from an external source known as eSentire Blog which provides more details about how these threats are delivered via ClickFix."
"[""XMLCTL"", ""UAC-0050""]",,,"A threat group known as UAC-0050, targeting Ukrainians with NetSupport RAT and using MSI-based loaders and distinct infrastructure patterns. Uses commercial US-based hosting and different configuration parameters.","[{""source_name"": ""ProofPoint"", ""url"": ""https://www.proofpoint.com/us/blog/threat-insight/remote-monitoring-and-management-rmm-tooling-increasingly-attackers-first-choice""}]",,,intrusion-set--747a6f5b-b382-4dc8-abf6-8665dcb2f6d5,,,,XMLCTL Campaign (UAC-0050),,,,,,,,,,intrusion-set,"The object contains information about a specific threat group known as XMLCTL Campaign (UAC-0050). The group is identified through various aliases, including XMLCTL and UAC-0050. 

This threat group primarily targets Ukrainians using NetSupport RAT, a type of remote access tool. They utilize MSI-based loaders for their attacks and have been observed to employ distinct infrastructure patterns. Moreover, it has come to light that they use commercial US-based hosting services with unique configuration parameters.

According to external references, such as those provided by ProofPoint, the XMLCTL Campaign (UAC-0050) threat group is an increasingly popular choice among attackers due to its efficiency in remote monitoring and management tooling. The use of these tools has become a primary tactic for this group, making it their first choice.

The object does not provide explicit details regarding the group's goals or motivations; however, it is clear that they are utilizing these tools primarily for malicious purposes."
"[""Qilin""]",,,"Agenda is a ransomware group operating a RaaS model, known for high operational tempo and global reach. The group targets organizations in developed markets, especially in manufacturing, technology, financial services, and healthcare sectors. Agenda is notable for cross-platform attacks and advanced defense evasion techniques.","[{""source_name"": ""Trend Micro"", ""url"": ""https://portal.xdr.trendmicro.com/index.html%22%20/l%20%22/app/ti/intelligence?intrusionSet=Agenda%20Ransomware%20Deploys%20Linux%20Variant%20on%20Windows%20Systems%20through%20Remote%20Management%20Tools%20and%20BYOVD%20Techniques""}]",2025-01-01T00:00:00Z,"[""Financial gain through ransomware extortion"", ""Data theft"", ""Disruption of backup and recovery capabilities""]",intrusion-set--2e22ca86-c36b-417f-ada9-7d1cbcb6b1d4,,2025-10-23T00:00:00Z,,Agenda,,financial,,organization,,,,,,intrusion-set,"The object contains information about Agenda, a ransomware group operating under a RaaS (Remote Access Service) model. The group is notable for its high operational tempo and global reach, targeting organizations in developed markets, particularly in manufacturing, technology, financial services, and healthcare sectors.

Agenda's attacks are characterized by cross-platform capabilities and advanced defense evasion techniques. The group's primary motivation is financial gain through ransomware extortion, with secondary goals of data theft and disruption of backup and recovery capabilities.

The group has been active since at least January 1, 2025, and was first detected in January 2025. According to external references, Agenda was identified by Trend Micro as a threat actor that deploys Linux variants on Windows systems through remote management tools and BYOVD (Bring Your Own Virtual Device) techniques.

Agenda's tactics, techniques, and procedures (TTPs) are focused on exploiting vulnerabilities in software applications and networks to gain unauthorized access. The group uses various attack vectors, including phishing, exploit kits, and social engineering.

The object contains information about Agenda's activities, including its targets, threat actor types, and regions of operation. However, some of this information is currently missing or not applicable due to data limitations."
"[""Storm-2603""]",,,"Storm-2603 is a financially motivated threat actor group known for deploying ransomware, including LockBit Black and WarLock/X2anylock. Their operations were first observed targeting organizations in Latin America and the APAC region during the first half of 2025. They exploit vulnerabilities in Microsoft SharePoint Server and use sophisticated TTPs for initial access, execution, defense evasion, discovery, command and control, and impact.","[{""source_name"": ""PicusSecurity"", ""url"": ""https://www.picussecurity.com/resource/blog/storm-2603-ransomware-campaign-targets-microsoft-sharepoint-in-2025-activity-and-ttp-analysis""}, {""source_name"": ""CheckPointResearch"", ""url"": ""https://research.checkpoint.com/2025/before-toolshell-exploring-storm-2603s-previous-ransomware-operations/""}, {""source_name"": ""MicrosoftSecurityBlog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2025/07/22/disrupting-active-exploitation-of-on-premises-sharepoint-vulnerabilities/""}]",2025-01-01T00:00:00Z,"[""Financial gain via ransomware extortion""]",intrusion-set--83c2fcee-a4a5-413c-8cbb-d2bba8b2139e,,,,Storm-2603,,financial,,organization,,,,,,intrusion-set,"The object contains information about Storm-2603, a financially motivated threat actor group known for deploying ransomware. 

Storm-2603 is recognized for targeting organizations in Latin America and the APAC region during the first half of 2025. They exploit vulnerabilities in Microsoft SharePoint Server to gain initial access, execute malware, evade detection, discover their presence, establish command and control over compromised systems, and inflict impact.

The primary motivation behind Storm-2603's operations is financial gain through ransomware extortion. Their tactics, techniques, and procedures (TTPs) are sophisticated and geared towards maximizing the efficiency of their attacks.

Storm-2603 has been linked to deploying LockBit Black and WarLock/X2anylock ransomware. The group's activities have garnered attention from cybersecurity firms such as PicusSecurity, CheckPointResearch, and Microsoft SecurityBlog, who have published reports analyzing Storm-2603's operations and tactics.

Storm-2603 was first observed in 2025, with their initial attacks targeting Microsoft SharePoint Server vulnerabilities."
